,location,floor,floors_count,rooms_count,total_meters,year_of_construction,object_type,have_loggia,parking_type,living_meters,kitchen_meters,ceiling_height,street,underground,price_per_square_meter
1,27,1,9,1,33.0,1975.0,1,0,0,18.0,6.0,2.7,160,1,125757.0
4,27,4,7,1,25.9,2009.0,1,0,2,20.0,5.0,3.5,671,0,115830.0
9,27,6,9,2,42.7,1980.0,1,2,2,29.7,5.6,2.7,831,0,93442.0
10,27,1,5,2,42.8,1990.0,1,1,2,24.9,6.0,2.5,711,0,70070.0
13,27,1,3,1,25.3,2015.0,1,2,0,14.1,6.2,2.8,599,0,98814.0
17,27,2,4,1,41.4,1975.0,1,1,2,20.0,7.0,2.82,1418,0,67632.0
18,27,2,2,1,31.3,1970.0,1,0,2,26.3,5.0,2.82,563,0,86261.0
19,27,5,5,1,31.0,1984.0,1,1,2,15.0,7.3,2.82,124,0,99677.0
23,27,6,6,1,38.9,2010.0,1,2,0,16.0,10.0,2.8,432,0,71979.0
26,27,8,10,3,64.0,1992.0,1,2,2,55.0,9.0,2.8,899,0,116406.0
27,27,8,9,3,60.0,1975.0,1,2,0,40.0,9.0,2.6,160,0,110000.0
28,27,3,10,3,62.1,1992.0,1,1,0,45.0,9.0,2.8,899,0,117552.0
30,27,7,24,3,77.6,2011.0,1,1,0,72.6,5.0,2.82,819,0,163659.0
31,27,6,9,3,62.0,1986.0,1,2,0,44.0,8.0,2.65,531,0,118548.0
32,27,5,10,3,63.0,1994.0,1,2,0,55.0,8.0,2.82,1023,0,120634.0
37,27,1,5,3,67.0,1973.0,1,2,2,41.0,9.0,2.5,326,0,123880.0
39,27,4,5,2,45.5,1971.0,1,1,2,32.5,6.0,2.6,1137,0,118241.0
41,27,7,9,2,42.9,1971.0,1,1,2,27.4,5.7,2.5,210,0,104895.0
42,27,2,14,2,38.4,2013.0,1,6,2,17.0,11.0,2.82,160,0,174479.0
43,27,1,9,2,48.0,1981.0,1,0,0,37.0,11.0,2.82,1344,0,87500.0
45,27,2,5,2,47.0,1972.0,1,2,0,33.0,7.5,2.7,160,0,106382.0
48,27,2,5,2,47.0,1971.0,1,1,0,34.0,6.5,2.6,1075,0,86170.0
49,27,6,6,2,56.8,2004.0,1,0,2,30.0,10.0,3.0,295,0,87147.0
54,27,5,5,2,53.5,1973.0,1,2,0,28.9,9.0,2.82,708,0,93457.0
56,27,2,10,1,59.0,2011.0,1,2,2,18.1,20.0,3.0,1137,0,191525.0
57,27,2,9,1,38.4,1984.0,1,2,2,15.0,9.0,2.82,929,0,119791.0
58,27,4,6,1,38.9,2009.0,1,0,2,13.0,11.2,2.8,671,0,102827.0
59,27,3,5,1,30.3,1972.0,1,1,2,18.0,6.0,2.6,896,0,115511.0
62,9,8,10,1,34.0,1970.0,1,2,2,18.2,7.8,2.6,619,0,176470.0
63,9,5,9,1,50.0,2019.0,1,1,2,25.0,10.0,2.7,524,0,191000.0
68,9,4,9,1,32.2,1978.0,1,0,0,15.0,6.0,2.6,709,0,161801.0
71,9,1,9,1,20.3,1977.0,1,0,2,11.4,4.0,2.4,1206,0,157635.0
74,9,6,6,1,31.6,2003.0,1,0,2,18.0,6.5,2.5,1067,0,183544.0
82,9,18,18,2,70.3,2007.0,1,6,1,58.3,12.0,2.7,514,0,234708.0
83,9,2,14,2,50.7,1973.0,1,2,2,32.0,8.0,2.7,132,0,138067.0
86,9,9,9,2,54.3,1995.0,1,2,2,30.0,8.1,2.7,514,0,151012.0
88,9,1,9,2,57.4,1976.0,1,2,2,30.0,9.0,2.5,709,0,135888.0
93,9,1,2,3,92.6,2009.0,1,0,2,56.5,10.6,2.82,665,0,203023.0
94,9,2,5,3,64.4,2004.0,1,2,2,50.0,8.5,2.82,1366,0,197204.0
96,9,13,14,3,75.3,1982.0,1,2,2,48.8,9.1,2.82,514,0,175298.0
108,19,11,20,3,87.02,2024.0,0,0,0,39.1,34.3,2.85,1418,1,378200.0
109,19,4,20,3,103.7,2024.0,0,0,0,35.2,25.5,3.2,794,1,388543.0
119,19,11,12,1,33.5,1972.0,1,1,2,17.0,7.0,2.5,753,1,238805.0
122,19,10,10,1,38.5,1994.0,1,2,0,20.7,8.4,2.82,890,1,292987.0
123,19,5,21,1,65.9,2023.0,0,0,0,18.8,24.9,3.0,327,1,1246927.0
124,19,3,20,1,59.0,2023.0,0,0,4,39.0,15.0,3.0,327,1,1047457.0
125,19,9,14,1,38.5,1993.0,1,1,2,18.0,8.0,2.64,901,1,181818.0
126,19,3,15,1,54.0,2016.0,1,2,4,30.0,12.0,2.8,630,1,268518.0
128,19,3,9,1,33.0,1978.0,1,0,0,18.0,6.0,2.7,553,1,275757.0
130,19,22,22,1,14.3,1980.0,1,0,2,6.3,3.0,2.65,963,1,579020.0
134,19,7,40,1,43.4,2023.0,1,0,0,15.2,19.4,2.82,1264,1,479262.0
146,19,14,24,3,88.0,2004.0,1,6,2,77.0,11.0,2.82,1196,1,346590.0
152,19,22,23,3,152.0,2004.0,1,0,3,112.0,25.0,3.0,905,1,539473.0
153,19,15,30,3,105.9,2023.0,1,0,4,51.2,28.4,3.3,496,1,357790.0
162,19,15,26,3,54.2,2023.0,1,0,0,37.1,4.1,2.87,1010,1,448339.0
165,19,28,32,3,110.0,2006.0,1,0,4,54.1,10.0,2.95,1208,1,563545.0
166,19,17,34,3,86.7,2024.0,1,0,4,53.0,10.0,2.9,1077,1,999999.0
172,19,6,9,3,63.1,2024.0,0,3,0,24.3,19.2,2.99,1418,1,212680.0
179,19,12,17,2,71.0,2022.0,1,0,1,40.0,17.0,3.0,455,1,252112.0
182,19,13,22,2,60.6,2010.0,1,1,0,50.2,10.4,2.82,1196,1,353135.0
183,19,7,15,2,46.5,2017.0,1,0,4,30.0,10.0,3.0,1208,1,513978.0
195,19,5,17,2,49.0,2024.0,0,0,4,31.4,3.8,2.82,963,1,751020.0
198,19,11,16,2,68.0,1995.0,1,0,2,38.0,12.0,2.8,985,1,291176.0
199,19,3,9,2,58.1,2017.0,1,0,0,46.900000000000006,11.2,2.75,73,1,266781.0
203,19,6,17,2,61.0,2008.0,1,6,0,33.0,13.0,2.82,598,1,227049.0
204,19,3,23,2,49.5,2021.0,1,0,4,26.0,12.0,3.2,743,1,319191.0
205,19,7,25,2,73.0,2021.0,1,0,2,29.0,25.0,2.8,78,1,250547.0
206,19,22,24,2,45.0,2020.0,1,2,4,28.0,15.0,2.8,769,1,466666.0
207,19,13,14,2,68.0,2023.0,0,0,0,27.0,29.2,2.8,1032,1,310250.0
209,19,15,38,2,81.0,2024.0,0,0,4,52.9,23.0,3.1,1229,1,356790.0
215,19,5,9,2,59.3,2024.0,0,2,4,31.7,10.2,2.82,383,1,138279.0
223,19,30,33,1,40.0,2024.0,0,0,4,13.0,15.0,3.0,882,1,547500.0
226,19,2,12,1,51.2,2022.0,1,0,4,33.0,5.0,3.1,161,1,611328.0
227,19,3,17,1,38.0,2006.0,1,2,2,19.0,7.3,2.65,827,1,365789.0
235,19,10,34,1,64.4,2023.0,1,0,0,41.7,10.0,3.2,1077,1,791925.0
236,19,3,12,1,39.0,1971.0,1,1,3,24.0,6.5,2.51,750,1,256384.0
237,19,14,19,1,39.6,2024.0,0,0,0,21.7,12.9,3.3,555,1,599999.0
239,19,7,9,1,33.0,2021.0,1,2,2,23.0,10.0,2.7,254,1,284242.0
240,19,3,13,1,37.3,2023.0,0,0,4,12.3,11.5,3.1,1,1,302361.0
241,19,18,22,1,43.2,2022.0,1,0,0,8.6,21.7,3.0,814,1,444444.0
242,19,22,22,1,16.0,1980.0,1,0,2,8.0,3.0,2.65,963,1,555000.0
243,19,7,17,1,37.9,1991.0,1,1,2,18.9,8.4,2.7,976,1,308707.0
245,19,4,20,1,76.13,2024.0,0,3,4,27.7,21.3,2.85,769,1,422500.0
246,19,5,7,1,34.6,1978.0,1,1,0,18.0,8.0,2.82,741,1,260115.0
247,19,5,9,1,34.1,1970.0,1,0,2,17.1,8.1,2.65,1218,1,322287.0
250,19,5,17,1,50.2,2024.0,1,0,4,16.1,16.8,2.82,963,1,695219.0
251,19,15,27,1,38.2,2024.0,0,0,4,14.0,10.2,3.0,1418,1,445841.0
264,19,16,16,1,38.2,2024.0,0,0,3,10.4,11.3,2.72,1418,1,216096.0
265,19,2,16,1,38.6,2024.0,0,0,3,10.5,11.3,2.72,1418,1,214381.0
275,19,8,9,1,56.0,2018.0,1,1,2,20.1,23.0,2.8,581,1,164285.0
277,19,8,27,1,33.0,2012.0,1,0,0,16.0,10.0,2.8,1418,1,287878.0
279,19,9,10,1,38.3,2007.0,1,2,2,17.9,8.7,2.8,1056,1,253263.0
280,19,14,20,1,30.6,2024.0,0,0,2,9.5,21.1,2.7,1418,1,315759.0
282,19,5,5,1,35.83,2024.0,0,0,3,10.8,9.8,3.0,1418,1,276301.0
284,19,2,5,1,43.9,2024.0,0,0,3,14.4,18.5,3.0,1418,1,231009.0
295,19,12,17,1,38.8,1987.0,1,2,2,20.0,8.5,2.64,860,1,286082.0
298,37,4,5,1,48.0,2006.0,1,1,2,41.0,7.0,2.6,1065,0,131250.0
299,37,3,9,1,51.9,2013.0,1,2,0,17.0,19.0,2.8,129,0,90558.0
303,37,2,5,1,33.6,2006.0,1,0,2,18.7,8.6,2.6,1065,0,157738.0
304,37,4,5,1,34.2,2018.0,1,2,2,16.0,10.0,2.8,1418,0,116081.0
305,37,5,5,1,28.4,1978.0,1,1,0,15.1,6.7,2.82,811,0,112676.0
306,37,9,9,1,40.0,1988.0,1,1,2,34.0,6.0,2.82,1418,0,95000.0
307,37,5,5,1,31.5,1974.0,1,1,2,16.5,6.1,2.5,129,0,133333.0
