author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
Стройинвест,representative_developer,https://balashikha.cian.ru/sale/flat/305430873/,Балашиха,sale,flat,12,17,1,36.4,6027360.0,, Поликахина,2,Лухмановская,Центр-2
Этажи Москва,real_estate_agent,https://balashikha.cian.ru/sale/flat/308583683/,Балашиха,sale,flat,19,20,2,68.8,12000000.0,,шоссе Косинское,5/7,Ольгино,Новоград Павлино
Самолет,developer,https://balashikha.cian.ru/sale/flat/308722035/,Балашиха,sale,flat,20,22,1,33.9,6089457.0,,,к6,Некрасовка,Новоград Павлино
ID 118582271,homeowner,https://balashikha.cian.ru/sale/flat/308939146/,Балашиха,sale,flat,10,17,2,52.2,9890000.0,, Свердлова,50,Щёлковская,
Стройинвест,representative_developer,https://balashikha.cian.ru/sale/flat/305430769/,Балашиха,sale,flat,12,17,2,57.8,8556280.0,, Поликахина,2,Лухмановская,Центр-2
ТСН Владис,real_estate_agent,https://balashikha.cian.ru/sale/flat/301385242/,Балашиха,sale,flat,5,10,2,66.0,9249000.0,, Карбышева,1,Кучино,
Стройинвест,representative_developer,https://balashikha.cian.ru/sale/flat/305430713/,Балашиха,sale,flat,12,17,1,37.3,6108630.0,,проспект Героев,12,Лухмановская,Центр-2
Этажи Москва,real_estate_agent,https://balashikha.cian.ru/sale/flat/307869945/,Балашиха,sale,flat,19,25,1,36.3,5300000.0,, Яганова,9,Щёлковская,Пехра
СЕТЬСТРОЙ БАЛАШИХА,developer,https://balashikha.cian.ru/sale/flat/296483363/,Балашиха,sale,flat,17,17,1,31.7,6498500.0,г. Балашиха,ул. Твардовского,к4,Новокосино,Квартал Светлый ЖК
ID 16079413,homeowner,https://balashikha.cian.ru/sale/flat/306373203/,Балашиха,sale,flat,11,17,2,64.0,9549000.0,,проспект Ленина,74,Салтыковская,Жемчужина Виктории
Стройинвест,representative_developer,https://balashikha.cian.ru/sale/flat/305430932/,Балашиха,sale,flat,2,17,1,36.7,6304370.0,, Поликахина,2,Лухмановская,Центр-2
ТСН Владис,real_estate_agent,https://balashikha.cian.ru/sale/flat/303023571/,Балашиха,sale,flat,4,5,1,30.3,3899000.0,,шоссе Энтузиастов,57,Салтыковская,
Стройинвест,representative_developer,https://balashikha.cian.ru/sale/flat/305430905/,Балашиха,sale,flat,12,17,2,51.6,8079760.0,, Поликахина,2,Лухмановская,Центр-2
ТСН Владис,real_estate_agent,https://balashikha.cian.ru/sale/flat/306785132/,Балашиха,sale,flat,3,20,1,47.3,6499999.0,, Чистопольская,28,Щёлковская,Эдельвейс-Комфорт
СЕТЬСТРОЙ БАЛАШИХА,developer,https://balashikha.cian.ru/sale/flat/299327338/,Балашиха,sale,flat,4,17,2,53.6,10237600.0,г. Балашиха,ул. Твардовского,к3,Новокосино,Квартал Светлый ЖК
Иван Музалевский,realtor,https://balashikha.cian.ru/sale/flat/301875482/,Балашиха,sale,flat,7,16,1,42.3,7250000.0,, Юбилейная,4к5,Железнодорожная,
СЕТЬСТРОЙ БАЛАШИХА,developer,https://balashikha.cian.ru/sale/flat/289976892/,Балашиха,sale,flat,10,17,2,52.7,10171100.0,г. Балашиха,ул. Твардовского,к4,Новокосино,Квартал Светлый ЖК
ТСН Владис,real_estate_agent,https://balashikha.cian.ru/sale/flat/304384217/,Балашиха,sale,flat,14,17,1,45.3,7349000.0,, Твардовского,26,Кучино,
Самолет,developer,https://balashikha.cian.ru/sale/flat/308651000/,Балашиха,sale,flat,11,22,1,32.82,5971181.0,,,,Некрасовка,Новоград Павлино
БАРС Лизинг,real_estate_agent,https://balashikha.cian.ru/sale/flat/296593320/,Балашиха,sale,flat,20,24,2,59.5,9678000.0,, Разина,1А,Салтыковская,28 микрорайон
Абсолют Недвижимость,representative_developer,https://balashikha.cian.ru/sale/flat/304783370/,Балашиха,sale,flat,19,22,1,33.62,5856558.0,,,к6,Некрасовка,Новоград Павлино
БАРС Лизинг,real_estate_agent,https://balashikha.cian.ru/sale/flat/304043218/,Балашиха,sale,flat,10,24,2,69.8,10550000.0,, Разина,1А,Салтыковская,28 микрорайон
Самолет,developer,https://balashikha.cian.ru/sale/flat/308651070/,Балашиха,sale,flat,20,22,1,34.3,6476989.0,, Бояринова,30,Ольгино,Новоград Павлино
NEWдвижимость Москва,real_estate_agent,https://balashikha.cian.ru/sale/flat/307628408/,Балашиха,sale,flat,8,20,2,71.3,11699000.0,, Соловьева,1,Кучино,Леоновский парк
Стройинвест,representative_developer,https://balashikha.cian.ru/sale/flat/305430970/,Балашиха,sale,flat,16,17,2,49.8,8396380.0,, Поликахина,2,Лухмановская,Центр-2
БАРС Лизинг,real_estate_agent,https://balashikha.cian.ru/sale/flat/306496312/,Балашиха,sale,flat,14,24,1,41.3,7100000.0,, Разина,1А,Салтыковская,28 микрорайон
Самолет,developer,https://balashikha.cian.ru/sale/flat/308650832/,Балашиха,sale,flat,8,22,1,46.96,7154450.0,,,к8,Некрасовка,Новоград Павлино
БАРС Лизинг,real_estate_agent,https://balashikha.cian.ru/sale/flat/296593080/,Балашиха,sale,flat,3,24,1,46.8,7773000.0,, Разина,1А,Салтыковская,28 микрорайон
ID 10606565,realtor,https://balashikha.cian.ru/sale/flat/306447400/,Балашиха,sale,flat,2,9,1,30.0,3780000.0,, 40 лет Победы,9,Салтыковская,
Елена Хмура,realtor,https://balashikha.cian.ru/sale/flat/189120598/,Балашиха,sale,flat,12,16,1,34.2,5150000.0,,,16,Щёлковская,
Ваши Соседи Торги,real_estate_agent,https://balashikha.cian.ru/sale/flat/308061962/,Балашиха,sale,flat,3,6,1,36.9,4428000.0,,Школьная ,25,Салтыковская,Квартал Европа
CENTURY 21 Перспектива,real_estate_agent,https://balashikha.cian.ru/sale/flat/306840853/,Балашиха,sale,flat,2,4,2,55.0,5500000.0,,Институтская ,22А,Кучино,
do A.S.A.P.,real_estate_agent,https://balashikha.cian.ru/sale/flat/308184164/,Балашиха,sale,flat,13,14,2,67.0,11950000.0,, Евстафьева,9,Салтыковская,
Владимир Тарасов,realtor,https://balashikha.cian.ru/sale/flat/304552588/,Балашиха,sale,flat,3,17,1,44.0,5500000.0,, Свердлова,46,Щёлковская,
Абсолют Недвижимость,representative_developer,https://balashikha.cian.ru/sale/flat/304783293/,Балашиха,sale,flat,18,22,2,36.9,6169013.0,,,к6,Некрасовка,Новоград Павлино
БАРС Лизинг,real_estate_agent,https://balashikha.cian.ru/sale/flat/306497146/,Балашиха,sale,flat,23,24,2,69.8,10550000.0,, Разина,1А,Салтыковская,28 микрорайон
ОГРК,real_estate_agent,https://balashikha.cian.ru/sale/flat/308630850/,Балашиха,sale,flat,10,12,2,40.0,4699000.0,, 1 Мая,2,Железнодорожная,
Самолет,developer,https://balashikha.cian.ru/sale/flat/308650834/,Балашиха,sale,flat,20,22,1,42.89,7243778.0,,,к8,Некрасовка,Новоград Павлино
СТРОЙИНВЕСТ,real_estate_agent,https://balashikha.cian.ru/sale/flat/293359797/,Балашиха,sale,flat,3,17,2,57.4,8543160.0,,проспект Героев,12,Железнодорожная,
Анна Панасенко,realtor,https://balashikha.cian.ru/sale/flat/306140553/,Балашиха,sale,flat,7,9,1,34.2,5200000.0,, Маяковского,2,Железнодорожная,
